Gender,Age,Region,Diagnosis,2019,2020,2021,2022
Men,0 years,Region Hovedstaden,Infectious diseases,248,147,274,316
Men,0 years,Region Hovedstaden,Diseases of lung,322,225,387,377
Men,0 years,Region Hovedstaden,Diseases of the nervous system,47,76,43,70
Men,0 years,Region Hovedstaden,Diseases of the heart and great vessels,27,40,28,30
Men,0 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",..,4,5,..
Men,0 years,Region Hovedstaden,Varicose veins in leg,0,0,0,0
Men,0 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,8,3,18,19
Men,0 years,Region Hovedstaden,Diseases of the stomach and intestines,112,142,147,126
Men,0 years,Region Hovedstaden,Diseases of the urinary tract,117,137,133,107
Men,0 years,Region Hovedstaden,Diseases of the musculoskeletal system,25,21,25,34
Men,0 years,Region Hovedstaden,Diseases of female genital organs,0,0,0,0
Men,0 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",956,1251,1108,991
Men,0 years,Region Hovedstaden,Diseases of the skin and venereal diseases,49,54,64,50
Men,0 years,Region Hovedstaden,Diseases of the eye,4,8,15,5
Men,0 years,Region Hovedstaden,"Diseases of ear, nose and throat",189,142,219,247
Men,0 years,Region Hovedstaden,"Endocrine, metabolic and chromosomic diseases",60,37,43,41
Men,0 years,Region Hovedstaden,Mental disorders,64,80,96,85
Men,0 years,Region Hovedstaden,Diseases of mamma,0,0,0,0
Men,0 years,Region Hovedstaden,Sterilization,0,0,0,0
Men,0 years,Region Hovedstaden,Concussion,16,13,14,11
Men,0 years,Region Hovedstaden,Poisonings,0,..,..,4
Men,0 years,Region Hovedstaden,Live-born children,6614,6665,7180,6541
Men,0 years,Region Hovedstaden,Other diseases,540,784,748,682
Men,0 years,Region Sjælland,"Diagnosis, total",3019,3002,3326,3270
Men,0 years,Region Sjælland,Infectious diseases,71,47,58,107
Men,0 years,Region Sjælland,Diseases of lung,166,113,163,148
Men,0 years,Region Sjælland,Diseases of the nervous system,23,21,11,22
Men,0 years,Region Sjælland,Diseases of the heart and great vessels,6,10,16,12
Men,0 years,Region Sjælland,"Diseases of arteries, veins, lymph",3,3,..,3
Men,0 years,Region Sjælland,Varicose veins in leg,0,0,0,0
Men,0 years,Region Sjælland,Diseases of blood and lymphatic tissue,4,0,5,6
Men,0 years,Region Sjælland,Diseases of the stomach and intestines,48,65,49,70
Men,0 years,Region Sjælland,Diseases of the urinary tract,40,46,33,35
Men,0 years,Region Sjælland,Diseases of the musculoskeletal system,7,6,5,4
Men,0 years,Region Sjælland,Diseases of female genital organs,0,0,0,0
Men,0 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",427,421,466,480
Men,0 years,Region Sjælland,Diseases of the skin and venereal diseases,20,20,27,26
Men,0 years,Region Sjælland,Diseases of the eye,..,..,3,..
Men,0 years,Region Sjælland,"Diseases of ear, nose and throat",84,53,70,77
Men,0 years,Region Sjælland,"Endocrine, metabolic and chromosomic diseases",34,24,26,32
Men,0 years,Region Sjælland,Mental disorders,22,23,47,45
Men,0 years,Region Sjælland,Diseases of mamma,0,0,0,0
Men,0 years,Region Sjælland,Sterilization,0,0,0,0
Men,0 years,Region Sjælland,Concussion,4,4,5,..
Men,0 years,Region Sjælland,Poisonings,0,0,..,0
Men,0 years,Region Sjælland,Live-born children,1820,1890,2091,1928
Men,0 years,Region Sjælland,Other diseases,238,255,249,271
Men,0 years,Region Syddanmark,"Diagnosis, total",4087,4419,4830,4934
Men,0 years,Region Syddanmark,Infectious diseases,93,52,72,180
Men,0 years,Region Syddanmark,Diseases of lung,149,157,234,194
Men,0 years,Region Syddanmark,Diseases of the nervous system,14,15,17,21
Men,0 years,Region Syddanmark,Diseases of the heart and great vessels,8,14,13,12
Men,0 years,Region Syddanmark,"Diseases of arteries, veins, lymph",..,..,5,..
Men,0 years,Region Syddanmark,Varicose veins in leg,0,0,0,0
Men,0 years,Region Syddanmark,Diseases of blood and lymphatic tissue,3,3,..,3
Men,0 years,Region Syddanmark,Diseases of the stomach and intestines,55,49,56,78
Men,0 years,Region Syddanmark,Diseases of the urinary tract,34,28,32,28
Men,0 years,Region Syddanmark,Diseases of the musculoskeletal system,3,10,12,10
Men,0 years,Region Syddanmark,Diseases of female genital organs,0,0,0,0
Men,0 years,Region Syddanmark,"Diseases of pregnancy, delivery and the perinatal period",734,752,831,746
Men,0 years,Region Syddanmark,Diseases of the skin and venereal diseases,15,21,17,14
Men,0 years,Region Syddanmark,Diseases of the eye,0,3,..,..
Men,0 years,Region Syddanmark,"Diseases of ear, nose and throat",59,40,56,103
Men,0 years,Region Syddanmark,"Endocrine, metabolic and chromosomic diseases",32,20,29,55
Men,0 years,Region Syddanmark,Mental disorders,23,27,23,26
Men,0 years,Region Syddanmark,Diseases of mamma,0,0,0,0
Men,0 years,Region Syddanmark,Sterilization,0,0,0,0
Men,0 years,Region Syddanmark,Concussion,3,3,..,..
Men,0 years,Region Syddanmark,Poisonings,0,0,0,..
Men,0 years,Region Syddanmark,Live-born children,2444,2785,2956,2992
Men,0 years,Region Syddanmark,Other diseases,417,438,473,467
Men,0 years,Region Midtjylland,"Diagnosis, total",5657,6059,6152,6033
Men,0 years,Region Midtjylland,Infectious diseases,167,95,153,268
Men,0 years,Region Midtjylland,Diseases of lung,234,154,271,221
Men,0 years,Region Midtjylland,Diseases of the nervous system,38,46,31,25
Men,0 years,Region Midtjylland,Diseases of the heart and great vessels,17,25,19,32
Men,0 years,Region Midtjylland,"Diseases of arteries, veins, lymph",0,..,..,..
Men,0 years,Region Midtjylland,Varicose veins in leg,0,0,0,0
Men,0 years,Region Midtjylland,Diseases of blood and lymphatic tissue,7,9,10,12
Men,0 years,Region Midtjylland,Diseases of the stomach and intestines,103,103,95,79
Men,0 years,Region Midtjylland,Diseases of the urinary tract,49,72,67,77
Men,0 years,Region Midtjylland,Diseases of the musculoskeletal system,17,21,17,12
Men,0 years,Region Midtjylland,Diseases of female genital organs,0,0,0,0
Men,0 years,Region Midtjylland,"Diseases of pregnancy, delivery and the perinatal period",795,854,811,777
Men,0 years,Region Midtjylland,Diseases of the skin and venereal diseases,56,41,47,37
Men,0 years,Region Midtjylland,Diseases of the eye,6,5,3,..
Men,0 years,Region Midtjylland,"Diseases of ear, nose and throat",114,71,104,118
Men,0 years,Region Midtjylland,"Endocrine, metabolic and chromosomic diseases",27,17,33,32
Men,0 years,Region Midtjylland,Mental disorders,32,40,43,44
Men,0 years,Region Midtjylland,Diseases of mamma,0,0,0,0
Men,0 years,Region Midtjylland,Sterilization,0,0,0,0
Men,0 years,Region Midtjylland,Concussion,4,6,5,7
Men,0 years,Region Midtjylland,Poisonings,..,..,0,0
Men,0 years,Region Midtjylland,Live-born children,3525,3954,3959,3792
Men,0 years,Region Midtjylland,Other diseases,465,543,482,496
Men,0 years,Region Nordjylland,"Diagnosis, total",2381,2432,2595,2451
Men,0 years,Region Nordjylland,Infectious diseases,58,39,59,158
Men,0 years,Region Nordjylland,Diseases of lung,104,91,148,79
Men,0 years,Region Nordjylland,Diseases of the nervous system,9,9,13,8
Men,0 years,Region Nordjylland,Diseases of the heart and great vessels,9,21,9,3
Men,0 years,Region Nordjylland,"Diseases of arteries, veins, lymph",0,..,0,0
Men,0 years,Region Nordjylland,Varicose veins in leg,0,0,0,0
Men,0 years,Region Nordjylland,Diseases of blood and lymphatic tissue,..,0,..,7
Men,0 years,Region Nordjylland,Diseases of the stomach and intestines,48,33,56,61
Men,0 years,Region Nordjylland,Diseases of the urinary tract,22,17,40,21
Men,0 years,Region Nordjylland,Diseases of the musculoskeletal system,4,4,3,5
Men,0 years,Region Nordjylland,Diseases of female genital organs,0,0,0,0
Men,0 years,Region Nordjylland,"Diseases of pregnancy, delivery and the perinatal period",340,345,342,339
Men,0 years,Region Nordjylland,Diseases of the skin and venereal diseases,10,18,16,10
Men,0 years,Region Nordjylland,Diseases of the eye,..,0,..,0
Men,0 years,Region Nordjylland,"Diseases of ear, nose and throat",54,40,39,48
Men,0 years,Region Nordjylland,"Endocrine, metabolic and chromosomic diseases",34,16,21,30
Men,0 years,Region Nordjylland,Mental disorders,23,22,21,16
Men,0 years,Region Nordjylland,Diseases of mamma,0,0,0,0
Men,0 years,Region Nordjylland,Sterilization,0,0,0,0
Men,0 years,Region Nordjylland,Concussion,3,..,..,..
Men,0 years,Region Nordjylland,Poisonings,..,..,..,0
Men,0 years,Region Nordjylland,Live-born children,1438,1487,1557,1410
Men,0 years,Region Nordjylland,Other diseases,219,285,265,255
Men,1-4 years,Region Hovedstaden,"Diagnosis, total",2242,1907,2600,2663
Men,1-4 years,Region Hovedstaden,Infectious diseases,218,137,263,256
Men,1-4 years,Region Hovedstaden,Diseases of lung,503,420,692,658
Men,1-4 years,Region Hovedstaden,Diseases of the nervous system,81,81,93,72
Men,1-4 years,Region Hovedstaden,Diseases of the heart and great vessels,15,5,4,..
Men,1-4 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",22,21,15,37
Men,1-4 years,Region Hovedstaden,Varicose veins in leg,0,0,0,0
Men,1-4 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,60,45,57,66
Men,1-4 years,Region Hovedstaden,Diseases of the stomach and intestines,112,111,112,101
Men,1-4 years,Region Hovedstaden,Diseases of the urinary tract,77,72,79,72
Men,1-4 years,Region Hovedstaden,Diseases of the musculoskeletal system,184,220,221,245
Men,1-4 years,Region Hovedstaden,Diseases of female genital organs,0,0,0,0
Men,1-4 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",..,..,3,3
Men,1-4 years,Region Hovedstaden,Diseases of the skin and venereal diseases,77,78,81,87
Men,1-4 years,Region Hovedstaden,Diseases of the eye,9,5,14,15
Men,1-4 years,Region Hovedstaden,"Diseases of ear, nose and throat",326,196,267,365
Men,1-4 years,Region Hovedstaden,"Endocrine, metabolic and chromosomic diseases",83,41,92,82
Men,1-4 years,Region Hovedstaden,Mental disorders,7,5,11,6
Men,1-4 years,Region Hovedstaden,Diseases of mamma,0,0,0,0
Men,1-4 years,Region Hovedstaden,Sterilization,0,0,0,0
Men,1-4 years,Region Hovedstaden,Concussion,18,19,19,25
Men,1-4 years,Region Hovedstaden,Poisonings,30,14,27,10
Men,1-4 years,Region Hovedstaden,Live-born children,0,0,0,0
Men,1-4 years,Region Hovedstaden,Other diseases,418,435,550,561
Men,1-4 years,Region Sjælland,"Diagnosis, total",901,801,995,1053
Men,1-4 years,Region Sjælland,Infectious diseases,61,46,63,105
Men,1-4 years,Region Sjælland,Diseases of lung,236,164,299,246
Men,1-4 years,Region Sjælland,Diseases of the nervous system,39,29,27,34
Men,1-4 years,Region Sjælland,Diseases of the heart and great vessels,..,4,..,..
Men,1-4 years,Region Sjælland,"Diseases of arteries, veins, lymph",8,5,3,9
Men,1-4 years,Region Sjælland,Varicose veins in leg,0,0,0,0
Men,1-4 years,Region Sjælland,Diseases of blood and lymphatic tissue,33,24,16,22
Men,1-4 years,Region Sjælland,Diseases of the stomach and intestines,32,44,43,56
Men,1-4 years,Region Sjælland,Diseases of the urinary tract,15,20,40,32
Men,1-4 years,Region Sjælland,Diseases of the musculoskeletal system,56,67,50,71
Men,1-4 years,Region Sjælland,Diseases of female genital organs,0,0,0,0
Men,1-4 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",..,0,..,0
Men,1-4 years,Region Sjælland,Diseases of the skin and venereal diseases,30,43,24,30
Men,1-4 years,Region Sjælland,Diseases of the eye,0,5,4,3
Men,1-4 years,Region Sjælland,"Diseases of ear, nose and throat",128,88,97,94
Men,1-4 years,Region Sjælland,"Endocrine, metabolic and chromosomic diseases",65,31,79,59
Men,1-4 years,Region Sjælland,Mental disorders,..,7,3,3
Men,1-4 years,Region Sjælland,Diseases of mamma,0,0,0,0
Men,1-4 years,Region Sjælland,Sterilization,0,0,0,0
Men,1-4 years,Region Sjælland,Concussion,13,15,16,11
Men,1-4 years,Region Sjælland,Poisonings,7,18,8,15
Men,1-4 years,Region Sjælland,Live-born children,0,0,0,0
Men,1-4 years,Region Sjælland,Other diseases,174,191,220,261
Men,1-4 years,Region Syddanmark,"Diagnosis, total",827,659,815,1001
Men,1-4 years,Region Syddanmark,Infectious diseases,68,36,53,105
Men,1-4 years,Region Syddanmark,Diseases of lung,204,176,253,248
Men,1-4 years,Region Syddanmark,Diseases of the nervous system,25,20,28,57
Men,1-4 years,Region Syddanmark,Diseases of the heart and great vessels,..,4,..,3
Men,1-4 years,Region Syddanmark,"Diseases of arteries, veins, lymph",5,..,4,7
Men,1-4 years,Region Syddanmark,Varicose veins in leg,0,0,0,0
Men,1-4 years,Region Syddanmark,Diseases of blood and lymphatic tissue,14,18,12,16
Men,1-4 years,Region Syddanmark,Diseases of the stomach and intestines,51,42,55,41
Men,1-4 years,Region Syddanmark,Diseases of the urinary tract,15,23,30,21
Men,1-4 years,Region Syddanmark,Diseases of the musculoskeletal system,92,85,79,111
Men,1-4 years,Region Syddanmark,Diseases of female genital organs,0,0,0,0
Men,1-4 years,Region Syddanmark,"Diseases of pregnancy, delivery and the perinatal period",0,0,..,0
Men,1-4 years,Region Syddanmark,Diseases of the skin and venereal diseases,21,15,15,23
Men,1-4 years,Region Syddanmark,Diseases of the eye,5,0,..,..
