,Gender,Age,Region,Diagnosis,2019,2020,2021,2022
0,Men,0 years,Region Hovedstaden,Infectious diseases,248.0,147.0,274.0,316.0
1,Men,0 years,Region Hovedstaden,Diseases of lung,322.0,225.0,387.0,377.0
2,Men,0 years,Region Hovedstaden,Diseases of the nervous system,47.0,76.0,43.0,70.0
3,Men,0 years,Region Hovedstaden,Diseases of the heart and great vessels,27.0,40.0,28.0,30.0
4,Men,0 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",4.5,4.0,5.0,4.5
5,Men,0 years,Region Hovedstaden,Varicose veins in leg,0.0,0.0,0.0,0.0
6,Men,0 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,8.0,3.0,18.0,19.0
7,Men,0 years,Region Hovedstaden,Diseases of the stomach and intestines,112.0,142.0,147.0,126.0
8,Men,0 years,Region Hovedstaden,Diseases of the urinary tract,117.0,137.0,133.0,107.0
9,Men,0 years,Region Hovedstaden,Diseases of the musculoskeletal system,25.0,21.0,25.0,34.0
10,Men,0 years,Region Hovedstaden,Diseases of female genital organs,0.0,0.0,0.0,0.0
11,Men,0 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",956.0,1251.0,1108.0,991.0
12,Men,0 years,Region Hovedstaden,Diseases of the skin and venereal diseases,49.0,54.0,64.0,50.0
13,Men,0 years,Region Hovedstaden,Diseases of the eye,4.0,8.0,15.0,5.0
14,Men,0 years,Region Hovedstaden,"Diseases of ear, nose and throat",189.0,142.0,219.0,247.0
15,Men,0 years,Region Hovedstaden,"Endocrine, metabolic and chromosomic diseases",60.0,37.0,43.0,41.0
16,Men,0 years,Region Hovedstaden,Mental disorders,64.0,80.0,96.0,85.0
17,Men,0 years,Region Hovedstaden,Diseases of mamma,0.0,0.0,0.0,0.0
18,Men,0 years,Region Hovedstaden,Sterilization,0.0,0.0,0.0,0.0
19,Men,0 years,Region Hovedstaden,Concussion,16.0,13.0,14.0,11.0
20,Men,0 years,Region Hovedstaden,Poisonings,0.0,2.0,2.0,4.0
21,Men,0 years,Region Hovedstaden,Live-born children,6614.0,6665.0,7180.0,6541.0
22,Men,0 years,Region Hovedstaden,Other diseases,540.0,784.0,748.0,682.0
23,Men,0 years,Region Sjælland,"Diagnosis, total",3019.0,3002.0,3326.0,3270.0
24,Men,0 years,Region Sjælland,Infectious diseases,71.0,47.0,58.0,107.0
25,Men,0 years,Region Sjælland,Diseases of lung,166.0,113.0,163.0,148.0
26,Men,0 years,Region Sjælland,Diseases of the nervous system,23.0,21.0,11.0,22.0
27,Men,0 years,Region Sjælland,Diseases of the heart and great vessels,6.0,10.0,16.0,12.0
28,Men,0 years,Region Sjælland,"Diseases of arteries, veins, lymph",3.0,3.0,3.0,3.0
29,Men,0 years,Region Sjælland,Varicose veins in leg,0.0,0.0,0.0,0.0
30,Men,0 years,Region Sjælland,Diseases of blood and lymphatic tissue,4.0,0.0,5.0,6.0
31,Men,0 years,Region Sjælland,Diseases of the stomach and intestines,48.0,65.0,49.0,70.0
32,Men,0 years,Region Sjælland,Diseases of the urinary tract,40.0,46.0,33.0,35.0
33,Men,0 years,Region Sjælland,Diseases of the musculoskeletal system,7.0,6.0,5.0,4.0
34,Men,0 years,Region Sjælland,Diseases of female genital organs,0.0,0.0,0.0,0.0
35,Men,0 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",427.0,421.0,466.0,480.0
36,Men,0 years,Region Sjælland,Diseases of the skin and venereal diseases,20.0,20.0,27.0,26.0
37,Men,0 years,Region Sjælland,Diseases of the eye,3.0,3.0,3.0,3.0
38,Men,0 years,Region Sjælland,"Diseases of ear, nose and throat",84.0,53.0,70.0,77.0
39,Men,0 years,Region Sjælland,"Endocrine, metabolic and chromosomic diseases",34.0,24.0,26.0,32.0
40,Men,0 years,Region Sjælland,Mental disorders,22.0,23.0,47.0,45.0
41,Men,0 years,Region Sjælland,Diseases of mamma,0.0,0.0,0.0,0.0
42,Men,0 years,Region Sjælland,Sterilization,0.0,0.0,0.0,0.0
43,Men,0 years,Region Sjælland,Concussion,4.0,4.0,5.0,4.333333333333333
44,Men,0 years,Region Sjælland,Poisonings,0.0,0.0,0.0,0.0
45,Men,0 years,Region Sjælland,Live-born children,1820.0,1890.0,2091.0,1928.0
46,Men,0 years,Region Sjælland,Other diseases,238.0,255.0,249.0,271.0
47,Men,0 years,Region Syddanmark,"Diagnosis, total",4087.0,4419.0,4830.0,4934.0
48,Men,0 years,Region Syddanmark,Infectious diseases,93.0,52.0,72.0,180.0
49,Men,0 years,Region Syddanmark,Diseases of lung,149.0,157.0,234.0,194.0
50,Men,0 years,Region Syddanmark,Diseases of the nervous system,14.0,15.0,17.0,21.0
51,Men,0 years,Region Syddanmark,Diseases of the heart and great vessels,8.0,14.0,13.0,12.0
52,Men,0 years,Region Syddanmark,"Diseases of arteries, veins, lymph",5.0,5.0,5.0,5.0
53,Men,0 years,Region Syddanmark,Varicose veins in leg,0.0,0.0,0.0,0.0
54,Men,0 years,Region Syddanmark,Diseases of blood and lymphatic tissue,3.0,3.0,3.0,3.0
55,Men,0 years,Region Syddanmark,Diseases of the stomach and intestines,55.0,49.0,56.0,78.0
56,Men,0 years,Region Syddanmark,Diseases of the urinary tract,34.0,28.0,32.0,28.0
57,Men,0 years,Region Syddanmark,Diseases of the musculoskeletal system,3.0,10.0,12.0,10.0
58,Men,0 years,Region Syddanmark,Diseases of female genital organs,0.0,0.0,0.0,0.0
59,Men,0 years,Region Syddanmark,"Diseases of pregnancy, delivery and the perinatal period",734.0,752.0,831.0,746.0
60,Men,0 years,Region Syddanmark,Diseases of the skin and venereal diseases,15.0,21.0,17.0,14.0
61,Men,0 years,Region Syddanmark,Diseases of the eye,0.0,3.0,1.5,1.5
62,Men,0 years,Region Syddanmark,"Diseases of ear, nose and throat",59.0,40.0,56.0,103.0
63,Men,0 years,Region Syddanmark,"Endocrine, metabolic and chromosomic diseases",32.0,20.0,29.0,55.0
64,Men,0 years,Region Syddanmark,Mental disorders,23.0,27.0,23.0,26.0
65,Men,0 years,Region Syddanmark,Diseases of mamma,0.0,0.0,0.0,0.0
66,Men,0 years,Region Syddanmark,Sterilization,0.0,0.0,0.0,0.0
67,Men,0 years,Region Syddanmark,Concussion,3.0,3.0,3.0,3.0
68,Men,0 years,Region Syddanmark,Poisonings,0.0,0.0,0.0,0.0
69,Men,0 years,Region Syddanmark,Live-born children,2444.0,2785.0,2956.0,2992.0
70,Men,0 years,Region Syddanmark,Other diseases,417.0,438.0,473.0,467.0
71,Men,0 years,Region Midtjylland,"Diagnosis, total",5657.0,6059.0,6152.0,6033.0
72,Men,0 years,Region Midtjylland,Infectious diseases,167.0,95.0,153.0,268.0
73,Men,0 years,Region Midtjylland,Diseases of lung,234.0,154.0,271.0,221.0
74,Men,0 years,Region Midtjylland,Diseases of the nervous system,38.0,46.0,31.0,25.0
75,Men,0 years,Region Midtjylland,Diseases of the heart and great vessels,17.0,25.0,19.0,32.0
76,Men,0 years,Region Midtjylland,"Diseases of arteries, veins, lymph",0.0,0.0,0.0,0.0
77,Men,0 years,Region Midtjylland,Varicose veins in leg,0.0,0.0,0.0,0.0
78,Men,0 years,Region Midtjylland,Diseases of blood and lymphatic tissue,7.0,9.0,10.0,12.0
79,Men,0 years,Region Midtjylland,Diseases of the stomach and intestines,103.0,103.0,95.0,79.0
80,Men,0 years,Region Midtjylland,Diseases of the urinary tract,49.0,72.0,67.0,77.0
81,Men,0 years,Region Midtjylland,Diseases of the musculoskeletal system,17.0,21.0,17.0,12.0
82,Men,0 years,Region Midtjylland,Diseases of female genital organs,0.0,0.0,0.0,0.0
83,Men,0 years,Region Midtjylland,"Diseases of pregnancy, delivery and the perinatal period",795.0,854.0,811.0,777.0
84,Men,0 years,Region Midtjylland,Diseases of the skin and venereal diseases,56.0,41.0,47.0,37.0
85,Men,0 years,Region Midtjylland,Diseases of the eye,6.0,5.0,3.0,4.666666666666667
86,Men,0 years,Region Midtjylland,"Diseases of ear, nose and throat",114.0,71.0,104.0,118.0
87,Men,0 years,Region Midtjylland,"Endocrine, metabolic and chromosomic diseases",27.0,17.0,33.0,32.0
88,Men,0 years,Region Midtjylland,Mental disorders,32.0,40.0,43.0,44.0
89,Men,0 years,Region Midtjylland,Diseases of mamma,0.0,0.0,0.0,0.0
90,Men,0 years,Region Midtjylland,Sterilization,0.0,0.0,0.0,0.0
91,Men,0 years,Region Midtjylland,Concussion,4.0,6.0,5.0,7.0
92,Men,0 years,Region Midtjylland,Poisonings,0.0,0.0,0.0,0.0
93,Men,0 years,Region Midtjylland,Live-born children,3525.0,3954.0,3959.0,3792.0
94,Men,0 years,Region Midtjylland,Other diseases,465.0,543.0,482.0,496.0
95,Men,0 years,Region Nordjylland,"Diagnosis, total",2381.0,2432.0,2595.0,2451.0
96,Men,0 years,Region Nordjylland,Infectious diseases,58.0,39.0,59.0,158.0
97,Men,0 years,Region Nordjylland,Diseases of lung,104.0,91.0,148.0,79.0
98,Men,0 years,Region Nordjylland,Diseases of the nervous system,9.0,9.0,13.0,8.0
99,Men,0 years,Region Nordjylland,Diseases of the heart and great vessels,9.0,21.0,9.0,3.0
100,Men,0 years,Region Nordjylland,"Diseases of arteries, veins, lymph",0.0,0.0,0.0,0.0
101,Men,0 years,Region Nordjylland,Varicose veins in leg,0.0,0.0,0.0,0.0
102,Men,0 years,Region Nordjylland,Diseases of blood and lymphatic tissue,3.5,0.0,3.5,7.0
103,Men,0 years,Region Nordjylland,Diseases of the stomach and intestines,48.0,33.0,56.0,61.0
104,Men,0 years,Region Nordjylland,Diseases of the urinary tract,22.0,17.0,40.0,21.0
105,Men,0 years,Region Nordjylland,Diseases of the musculoskeletal system,4.0,4.0,3.0,5.0
106,Men,0 years,Region Nordjylland,Diseases of female genital organs,0.0,0.0,0.0,0.0
107,Men,0 years,Region Nordjylland,"Diseases of pregnancy, delivery and the perinatal period",340.0,345.0,342.0,339.0
108,Men,0 years,Region Nordjylland,Diseases of the skin and venereal diseases,10.0,18.0,16.0,10.0
109,Men,0 years,Region Nordjylland,Diseases of the eye,0.0,0.0,0.0,0.0
110,Men,0 years,Region Nordjylland,"Diseases of ear, nose and throat",54.0,40.0,39.0,48.0
111,Men,0 years,Region Nordjylland,"Endocrine, metabolic and chromosomic diseases",34.0,16.0,21.0,30.0
112,Men,0 years,Region Nordjylland,Mental disorders,23.0,22.0,21.0,16.0
113,Men,0 years,Region Nordjylland,Diseases of mamma,0.0,0.0,0.0,0.0
114,Men,0 years,Region Nordjylland,Sterilization,0.0,0.0,0.0,0.0
115,Men,0 years,Region Nordjylland,Concussion,3.0,3.0,3.0,3.0
116,Men,0 years,Region Nordjylland,Poisonings,0.0,0.0,0.0,0.0
117,Men,0 years,Region Nordjylland,Live-born children,1438.0,1487.0,1557.0,1410.0
118,Men,0 years,Region Nordjylland,Other diseases,219.0,285.0,265.0,255.0
119,Men,1-4 years,Region Hovedstaden,"Diagnosis, total",2242.0,1907.0,2600.0,2663.0
120,Men,1-4 years,Region Hovedstaden,Infectious diseases,218.0,137.0,263.0,256.0
121,Men,1-4 years,Region Hovedstaden,Diseases of lung,503.0,420.0,692.0,658.0
122,Men,1-4 years,Region Hovedstaden,Diseases of the nervous system,81.0,81.0,93.0,72.0
123,Men,1-4 years,Region Hovedstaden,Diseases of the heart and great vessels,15.0,5.0,4.0,8.0
124,Men,1-4 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",22.0,21.0,15.0,37.0
125,Men,1-4 years,Region Hovedstaden,Varicose veins in leg,0.0,0.0,0.0,0.0
126,Men,1-4 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,60.0,45.0,57.0,66.0
127,Men,1-4 years,Region Hovedstaden,Diseases of the stomach and intestines,112.0,111.0,112.0,101.0
128,Men,1-4 years,Region Hovedstaden,Diseases of the urinary tract,77.0,72.0,79.0,72.0
129,Men,1-4 years,Region Hovedstaden,Diseases of the musculoskeletal system,184.0,220.0,221.0,245.0
130,Men,1-4 years,Region Hovedstaden,Diseases of female genital organs,0.0,0.0,0.0,0.0
131,Men,1-4 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",3.0,3.0,3.0,3.0
132,Men,1-4 years,Region Hovedstaden,Diseases of the skin and venereal diseases,77.0,78.0,81.0,87.0
133,Men,1-4 years,Region Hovedstaden,Diseases of the eye,9.0,5.0,14.0,15.0
134,Men,1-4 years,Region Hovedstaden,"Diseases of ear, nose and throat",326.0,196.0,267.0,365.0
135,Men,1-4 years,Region Hovedstaden,"Endocrine, metabolic and chromosomic diseases",83.0,41.0,92.0,82.0
136,Men,1-4 years,Region Hovedstaden,Mental disorders,7.0,5.0,11.0,6.0
137,Men,1-4 years,Region Hovedstaden,Diseases of mamma,0.0,0.0,0.0,0.0
138,Men,1-4 years,Region Hovedstaden,Sterilization,0.0,0.0,0.0,0.0
139,Men,1-4 years,Region Hovedstaden,Concussion,18.0,19.0,19.0,25.0
140,Men,1-4 years,Region Hovedstaden,Poisonings,30.0,14.0,27.0,10.0
141,Men,1-4 years,Region Hovedstaden,Live-born children,0.0,0.0,0.0,0.0
142,Men,1-4 years,Region Hovedstaden,Other diseases,418.0,435.0,550.0,561.0
143,Men,1-4 years,Region Sjælland,"Diagnosis, total",901.0,801.0,995.0,1053.0
144,Men,1-4 years,Region Sjælland,Infectious diseases,61.0,46.0,63.0,105.0
145,Men,1-4 years,Region Sjælland,Diseases of lung,236.0,164.0,299.0,246.0
146,Men,1-4 years,Region Sjælland,Diseases of the nervous system,39.0,29.0,27.0,34.0
147,Men,1-4 years,Region Sjælland,Diseases of the heart and great vessels,4.0,4.0,4.0,4.0
148,Men,1-4 years,Region Sjælland,"Diseases of arteries, veins, lymph",8.0,5.0,3.0,9.0
149,Men,1-4 years,Region Sjælland,Varicose veins in leg,0.0,0.0,0.0,0.0
150,Men,1-4 years,Region Sjælland,Diseases of blood and lymphatic tissue,33.0,24.0,16.0,22.0
151,Men,1-4 years,Region Sjælland,Diseases of the stomach and intestines,32.0,44.0,43.0,56.0
152,Men,1-4 years,Region Sjælland,Diseases of the urinary tract,15.0,20.0,40.0,32.0
153,Men,1-4 years,Region Sjælland,Diseases of the musculoskeletal system,56.0,67.0,50.0,71.0
154,Men,1-4 years,Region Sjælland,Diseases of female genital organs,0.0,0.0,0.0,0.0
155,Men,1-4 years,Region Sjælland,"Diseases of pregnancy, delivery and the perinatal period",0.0,0.0,0.0,0.0
156,Men,1-4 years,Region Sjælland,Diseases of the skin and venereal diseases,30.0,43.0,24.0,30.0
157,Men,1-4 years,Region Sjælland,Diseases of the eye,0.0,5.0,4.0,3.0
158,Men,1-4 years,Region Sjælland,"Diseases of ear, nose and throat",128.0,88.0,97.0,94.0
159,Men,1-4 years,Region Sjælland,"Endocrine, metabolic and chromosomic diseases",65.0,31.0,79.0,59.0
160,Men,1-4 years,Region Sjælland,Mental disorders,4.333333333333333,7.0,3.0,3.0
161,Men,1-4 years,Region Sjælland,Diseases of mamma,0.0,0.0,0.0,0.0
162,Men,1-4 years,Region Sjælland,Sterilization,0.0,0.0,0.0,0.0
163,Men,1-4 years,Region Sjælland,Concussion,13.0,15.0,16.0,11.0
164,Men,1-4 years,Region Sjælland,Poisonings,7.0,18.0,8.0,15.0
165,Men,1-4 years,Region Sjælland,Live-born children,0.0,0.0,0.0,0.0
166,Men,1-4 years,Region Sjælland,Other diseases,174.0,191.0,220.0,261.0
167,Men,1-4 years,Region Syddanmark,"Diagnosis, total",827.0,659.0,815.0,1001.0
168,Men,1-4 years,Region Syddanmark,Infectious diseases,68.0,36.0,53.0,105.0
169,Men,1-4 years,Region Syddanmark,Diseases of lung,204.0,176.0,253.0,248.0
170,Men,1-4 years,Region Syddanmark,Diseases of the nervous system,25.0,20.0,28.0,57.0
171,Men,1-4 years,Region Syddanmark,Diseases of the heart and great vessels,3.5,4.0,3.5,3.0
172,Men,1-4 years,Region Syddanmark,"Diseases of arteries, veins, lymph",5.0,5.333333333333333,4.0,7.0
173,Men,1-4 years,Region Syddanmark,Varicose veins in leg,0.0,0.0,0.0,0.0
174,Men,1-4 years,Region Syddanmark,Diseases of blood and lymphatic tissue,14.0,18.0,12.0,16.0
175,Men,1-4 years,Region Syddanmark,Diseases of the stomach and intestines,51.0,42.0,55.0,41.0
176,Men,1-4 years,Region Syddanmark,Diseases of the urinary tract,15.0,23.0,30.0,21.0
177,Men,1-4 years,Region Syddanmark,Diseases of the musculoskeletal system,92.0,85.0,79.0,111.0
178,Men,1-4 years,Region Syddanmark,Diseases of female genital organs,0.0,0.0,0.0,0.0
179,Men,1-4 years,Region Syddanmark,"Diseases of pregnancy, delivery and the perinatal period",0.0,0.0,0.0,0.0
180,Men,1-4 years,Region Syddanmark,Diseases of the skin and venereal diseases,21.0,15.0,15.0,23.0
181,Men,1-4 years,Region Syddanmark,Diseases of the eye,5.0,0.0,2.5,2.5
182,Men,1-4 years,Region Syddanmark,"Diseases of ear, nose and throat",100.0,41.0,81.0,115.0
183,Men,1-4 years,Region Syddanmark,"Endocrine, metabolic and chromosomic diseases",53.0,31.0,56.0,59.0
184,Men,1-4 years,Region Syddanmark,Mental disorders,0.0,0.0,0.0,0.0
185,Men,1-4 years,Region Syddanmark,Diseases of mamma,0.0,0.0,0.0,0.0
186,Men,1-4 years,Region Syddanmark,Sterilization,0.0,0.0,0.0,0.0
187,Men,1-4 years,Region Syddanmark,Concussion,10.0,9.0,6.0,6.0
188,Men,1-4 years,Region Syddanmark,Poisonings,11.0,11.0,8.0,4.0
189,Men,1-4 years,Region Syddanmark,Live-born children,0.0,0.0,0.0,0.0
190,Men,1-4 years,Region Syddanmark,Other diseases,151.0,145.0,132.0,183.0
191,Men,1-4 years,Region Midtjylland,"Diagnosis, total",1191.0,930.0,1192.0,1214.0
192,Men,1-4 years,Region Midtjylland,Infectious diseases,115.0,64.0,121.0,137.0
193,Men,1-4 years,Region Midtjylland,Diseases of lung,293.0,220.0,376.0,286.0
194,Men,1-4 years,Region Midtjylland,Diseases of the nervous system,88.0,66.0,54.0,56.0
195,Men,1-4 years,Region Midtjylland,Diseases of the heart and great vessels,3.0,7.0,7.0,6.0
196,Men,1-4 years,Region Midtjylland,"Diseases of arteries, veins, lymph",3.0,11.0,3.0,6.0
197,Men,1-4 years,Region Midtjylland,Varicose veins in leg,0.0,0.0,0.0,0.0
198,Men,1-4 years,Region Midtjylland,Diseases of blood and lymphatic tissue,29.0,34.0,22.0,26.0
199,Men,1-4 years,Region Midtjylland,Diseases of the stomach and intestines,58.0,52.0,66.0,83.0
200,Men,1-4 years,Region Midtjylland,Diseases of the urinary tract,22.0,24.0,31.0,26.0
201,Men,1-4 years,Region Midtjylland,Diseases of the musculoskeletal system,85.0,83.0,88.0,108.0
202,Men,1-4 years,Region Midtjylland,Diseases of female genital organs,0.0,0.0,0.0,0.0
203,Men,1-4 years,Region Midtjylland,"Diseases of pregnancy, delivery and the perinatal period",0.0,0.0,0.0,0.0
204,Men,1-4 years,Region Midtjylland,Diseases of the skin and venereal diseases,36.0,24.0,30.0,26.0
205,Men,1-4 years,Region Midtjylland,Diseases of the eye,4.0,4.0,4.0,4.0
206,Men,1-4 years,Region Midtjylland,"Diseases of ear, nose and throat",163.0,94.0,95.0,131.0
207,Men,1-4 years,Region Midtjylland,"Endocrine, metabolic and chromosomic diseases",56.0,19.0,26.0,47.0
208,Men,1-4 years,Region Midtjylland,Mental disorders,5.0,5.0,3.0,7.0
209,Men,1-4 years,Region Midtjylland,Diseases of mamma,0.0,0.0,0.0,0.0
210,Men,1-4 years,Region Midtjylland,Sterilization,0.0,0.0,0.0,0.0
211,Men,1-4 years,Region Midtjylland,Concussion,8.0,16.0,27.0,15.0
212,Men,1-4 years,Region Midtjylland,Poisonings,17.0,16.0,14.0,18.0
213,Men,1-4 years,Region Midtjylland,Live-born children,0.0,0.0,0.0,0.0
214,Men,1-4 years,Region Midtjylland,Other diseases,207.0,192.0,225.0,233.0
215,Men,1-4 years,Region Nordjylland,"Diagnosis, total",508.0,457.0,562.0,625.0
216,Men,1-4 years,Region Nordjylland,Infectious diseases,32.0,33.0,46.0,80.0
217,Men,1-4 years,Region Nordjylland,Diseases of lung,123.0,104.0,166.0,145.0
218,Men,1-4 years,Region Nordjylland,Diseases of the nervous system,19.0,17.0,28.0,24.0
219,Men,1-4 years,Region Nordjylland,Diseases of the heart and great vessels,0.0,0.0,0.0,0.0
220,Men,1-4 years,Region Nordjylland,"Diseases of arteries, veins, lymph",4.0,4.0,3.0,3.6666666666666665
221,Men,1-4 years,Region Nordjylland,Varicose veins in leg,0.0,0.0,0.0,0.0
222,Men,1-4 years,Region Nordjylland,Diseases of blood and lymphatic tissue,11.0,8.0,11.0,17.0
223,Men,1-4 years,Region Nordjylland,Diseases of the stomach and intestines,24.0,25.0,31.0,27.0
224,Men,1-4 years,Region Nordjylland,Diseases of the urinary tract,15.0,12.0,8.0,12.0
225,Men,1-4 years,Region Nordjylland,Diseases of the musculoskeletal system,34.0,36.0,43.0,30.0
226,Men,1-4 years,Region Nordjylland,Diseases of female genital organs,0.0,0.0,0.0,0.0
227,Men,1-4 years,Region Nordjylland,"Diseases of pregnancy, delivery and the perinatal period",0.0,0.0,0.0,0.0
228,Men,1-4 years,Region Nordjylland,Diseases of the skin and venereal diseases,9.0,7.0,11.0,11.0
229,Men,1-4 years,Region Nordjylland,Diseases of the eye,4.5,4.0,4.5,5.0
230,Men,1-4 years,Region Nordjylland,"Diseases of ear, nose and throat",65.0,50.0,49.0,62.0
231,Men,1-4 years,Region Nordjylland,"Endocrine, metabolic and chromosomic diseases",55.0,18.0,25.0,73.0
232,Men,1-4 years,Region Nordjylland,Mental disorders,1.5,1.5,3.0,0.0
233,Men,1-4 years,Region Nordjylland,Diseases of mamma,0.0,0.0,0.0,0.0
234,Men,1-4 years,Region Nordjylland,Sterilization,0.0,0.0,0.0,0.0
235,Men,1-4 years,Region Nordjylland,Concussion,4.0,6.0,3.0,6.0
236,Men,1-4 years,Region Nordjylland,Poisonings,8.0,6.0,11.0,11.0
237,Men,1-4 years,Region Nordjylland,Live-born children,0.0,0.0,0.0,0.0
238,Men,1-4 years,Region Nordjylland,Other diseases,103.0,126.0,123.0,119.0
239,Men,5-9 years,Region Hovedstaden,"Diagnosis, total",1214.0,1139.0,1123.0,1342.0
240,Men,5-9 years,Region Hovedstaden,Infectious diseases,65.0,51.0,40.0,68.0
241,Men,5-9 years,Region Hovedstaden,Diseases of lung,149.0,137.0,111.0,165.0
242,Men,5-9 years,Region Hovedstaden,Diseases of the nervous system,64.0,54.0,73.0,66.0
243,Men,5-9 years,Region Hovedstaden,Diseases of the heart and great vessels,6.0,7.0,4.0,11.0
244,Men,5-9 years,Region Hovedstaden,"Diseases of arteries, veins, lymph",20.0,21.0,23.0,21.0
245,Men,5-9 years,Region Hovedstaden,Varicose veins in leg,0.0,0.0,0.0,0.0
246,Men,5-9 years,Region Hovedstaden,Diseases of blood and lymphatic tissue,29.0,30.0,35.0,25.0
247,Men,5-9 years,Region Hovedstaden,Diseases of the stomach and intestines,147.0,144.0,149.0,150.0
248,Men,5-9 years,Region Hovedstaden,Diseases of the urinary tract,52.0,48.0,44.0,64.0
249,Men,5-9 years,Region Hovedstaden,Diseases of the musculoskeletal system,303.0,314.0,273.0,318.0
250,Men,5-9 years,Region Hovedstaden,Diseases of female genital organs,0.0,0.0,0.0,0.0
251,Men,5-9 years,Region Hovedstaden,"Diseases of pregnancy, delivery and the perinatal period",0.0,0.0,0.0,0.0
252,Men,5-9 years,Region Hovedstaden,Diseases of the skin and venereal diseases,39.0,35.0,44.0,33.0
253,Men,5-9 years,Region Hovedstaden,Diseases of the eye,15.0,11.0,8.0,15.0
254,Men,5-9 years,Region Hovedstaden,"Diseases of ear, nose and throat",64.0,43.0,42.0,82.0
255,Men,5-9 years,Region Hovedstaden,"Endocrine, metabolic and chromosomic diseases",28.0,22.0,33.0,34.0
256,Men,5-9 years,Region Hovedstaden,Mental disorders,5.0,6.0,13.0,10.0
257,Men,5-9 years,Region Hovedstaden,Diseases of mamma,0.0,0.0,0.0,0.0
